prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/083208.jpg,https://kristinagligoric.github.io/DQml4VZXUAIFdXs.jpg,https://kristinagligoric.github.io/083208.jpg,https://kristinagligoric.github.io/AIFdXs.jpg,R,T
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/Dc6e2GbW0AE4_Ts.jpg,https://kristinagligoric.github.io/088918.jpg,https://kristinagligoric.github.io/AE4_Ts.jpg,https://kristinagligoric.github.io/088918.jpg,T,R
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/090585.jpg,https://kristinagligoric.github.io/D8S6144XYAAG2d7.jpg,https://kristinagligoric.github.io/090585.jpg,https://kristinagligoric.github.io/AAG2d7.jpg,R,T
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/070634.jpg,https://kristinagligoric.github.io/DIGM44LXkAAR7e7.jpg,https://kristinagligoric.github.io/070634.jpg,https://kristinagligoric.github.io/AAR7e7.jpg,R,T
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/EL69LpuXUAQ3fy2.jpg,https://kristinagligoric.github.io/090362.jpg,https://kristinagligoric.github.io/AQ3fy2.jpg,https://kristinagligoric.github.io/090362.jpg,T,R
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/EWIiDJ2WsAI8liz.jpg,https://kristinagligoric.github.io/031027.jpg,https://kristinagligoric.github.io/AI8liz.jpg,https://kristinagligoric.github.io/031027.jpg,T,R
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/EN2728AWoAAGkhP.jpg,https://kristinagligoric.github.io/045001.jpg,https://kristinagligoric.github.io/AAGkhP.jpg,https://kristinagligoric.github.io/045001.jpg,T,R
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/070377.jpg,https://kristinagligoric.github.io/EMVyMrDXYAEjMfo.jpg,https://kristinagligoric.github.io/070377.jpg,https://kristinagligoric.github.io/AEjMfo.jpg,R,T
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/044362.jpg,https://kristinagligoric.github.io/DQYkwLwWsAEhabr.jpg,https://kristinagligoric.github.io/044362.jpg,https://kristinagligoric.github.io/AEhabr.jpg,R,T
contains biscuit(s) or cookie(s) that appear,biscuit OR cookie,biscuit or cookie,https://kristinagligoric.github.io/071177.jpg,https://kristinagligoric.github.io/Ds3O34SWkAAHLM6.jpg,https://kristinagligoric.github.io/071177.jpg,https://kristinagligoric.github.io/AAHLM6.jpg,R,T
