prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains bread that appears,bread,bread,https://kristinagligoric.github.io/068302.jpg,https://kristinagligoric.github.io/DWjlaDnXcAApwTV.jpg,https://kristinagligoric.github.io/068302.jpg,https://kristinagligoric.github.io/AApwTV.jpg,R,T
contains bread that appears,bread,bread,https://kristinagligoric.github.io/EF3fn2NWkAARGfj.jpg,https://kristinagligoric.github.io/102049.jpg,https://kristinagligoric.github.io/AARGfj.jpg,https://kristinagligoric.github.io/102049.jpg,T,R
contains bread that appears,bread,bread,https://kristinagligoric.github.io/038698.jpg,https://kristinagligoric.github.io/EOWyjXRXkAE1Obm.jpg,https://kristinagligoric.github.io/038698.jpg,https://kristinagligoric.github.io/AE1Obm.jpg,R,T
contains bread that appears,bread,bread,https://kristinagligoric.github.io/D5-4gC1XsAE7N5G.jpg,https://kristinagligoric.github.io/015795.jpg,https://kristinagligoric.github.io/AE7N5G.jpg,https://kristinagligoric.github.io/015795.jpg,T,R
contains bread that appears,bread,bread,https://kristinagligoric.github.io/021946.jpg,https://kristinagligoric.github.io/EIt2M14XYAEVgpq.jpg,https://kristinagligoric.github.io/021946.jpg,https://kristinagligoric.github.io/AEVgpq.jpg,R,T
contains bread that appears,bread,bread,https://kristinagligoric.github.io/Dq1W4oBXQAAhOKp.jpg,https://kristinagligoric.github.io/046862.jpg,https://kristinagligoric.github.io/AAhOKp.jpg,https://kristinagligoric.github.io/046862.jpg,T,R
contains bread that appears,bread,bread,https://kristinagligoric.github.io/EVzPQbEXYAArEyx.jpg,https://kristinagligoric.github.io/028027.jpg,https://kristinagligoric.github.io/AArEyx.jpg,https://kristinagligoric.github.io/028027.jpg,T,R
contains bread that appears,bread,bread,https://kristinagligoric.github.io/075007.jpg,https://kristinagligoric.github.io/DNJOkO_XcAAEdCS.jpg,https://kristinagligoric.github.io/075007.jpg,https://kristinagligoric.github.io/AAEdCS.jpg,R,T
contains bread that appears,bread,bread,https://kristinagligoric.github.io/039819.jpg,https://kristinagligoric.github.io/C68_P8DWcAAWtF7.jpg,https://kristinagligoric.github.io/039819.jpg,https://kristinagligoric.github.io/AAWtF7.jpg,R,T
contains bread that appears,bread,bread,https://kristinagligoric.github.io/Dk0V_wPX4AEhTJF.jpg,https://kristinagligoric.github.io/034690.jpg,https://kristinagligoric.github.io/AEhTJF.jpg,https://kristinagligoric.github.io/034690.jpg,T,R
contains bread that appears,bread,bread,https://kristinagligoric.github.io/047033.jpg,https://kristinagligoric.github.io/DX_t8sIX0AAZFPT.jpg,https://kristinagligoric.github.io/047033.jpg,https://kristinagligoric.github.io/AAZFPT.jpg,R,T
contains bread that appears,bread,bread,https://kristinagligoric.github.io/C6KSqI_WAAA3VOl.jpg,https://kristinagligoric.github.io/090115.jpg,https://kristinagligoric.github.io/AA3VOl.jpg,https://kristinagligoric.github.io/090115.jpg,T,R
