prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains cake that appears,cake,cake,https://kristinagligoric.github.io/EFkBfiSWkAk9KWk.jpg,https://kristinagligoric.github.io/089293.jpg,https://kristinagligoric.github.io/Ak9KWk.jpg,https://kristinagligoric.github.io/089293.jpg,T,R
contains cake that appears,cake,cake,https://kristinagligoric.github.io/059371.jpg,https://kristinagligoric.github.io/DBai7j1WAAEB3wN.jpg,https://kristinagligoric.github.io/059371.jpg,https://kristinagligoric.github.io/AEB3wN.jpg,R,T
contains cake that appears,cake,cake,https://kristinagligoric.github.io/EO5P4bjWsAI131U.jpg,https://kristinagligoric.github.io/024980.jpg,https://kristinagligoric.github.io/AI131U.jpg,https://kristinagligoric.github.io/024980.jpg,T,R
contains cake that appears,cake,cake,https://kristinagligoric.github.io/Df4n_BMX4AAGy8F.jpg,https://kristinagligoric.github.io/056954.jpg,https://kristinagligoric.github.io/AAGy8F.jpg,https://kristinagligoric.github.io/056954.jpg,T,R
contains cake that appears,cake,cake,https://kristinagligoric.github.io/C4vu6V5XUAAWZhX.jpg,https://kristinagligoric.github.io/015060.jpg,https://kristinagligoric.github.io/AAWZhX.jpg,https://kristinagligoric.github.io/015060.jpg,T,R
contains cake that appears,cake,cake,https://kristinagligoric.github.io/008852.jpg,https://kristinagligoric.github.io/EpO30seWEAUmFrf.jpg,https://kristinagligoric.github.io/008852.jpg,https://kristinagligoric.github.io/AUmFrf.jpg,R,T
contains cake that appears,cake,cake,https://kristinagligoric.github.io/DZWZrbsWAAAK-bE.jpg,https://kristinagligoric.github.io/041146.jpg,https://kristinagligoric.github.io/AAK-bE.jpg,https://kristinagligoric.github.io/041146.jpg,T,R
contains cake that appears,cake,cake,https://kristinagligoric.github.io/DsiAIg-XoAEb_m6.jpg,https://kristinagligoric.github.io/007824.jpg,https://kristinagligoric.github.io/AEb_m6.jpg,https://kristinagligoric.github.io/007824.jpg,T,R
contains cake that appears,cake,cake,https://kristinagligoric.github.io/085451.jpg,https://kristinagligoric.github.io/C4juwknW8AAP9kl.jpg,https://kristinagligoric.github.io/085451.jpg,https://kristinagligoric.github.io/AAP9kl.jpg,R,T
contains cake that appears,cake,cake,https://kristinagligoric.github.io/043768.jpg,https://kristinagligoric.github.io/EF-rynWWkAAmVgO.jpg,https://kristinagligoric.github.io/043768.jpg,https://kristinagligoric.github.io/AAmVgO.jpg,R,T
contains cake that appears,cake,cake,https://kristinagligoric.github.io/DfE_GsfXkAEm5Wi.jpg,https://kristinagligoric.github.io/066097.jpg,https://kristinagligoric.github.io/AEm5Wi.jpg,https://kristinagligoric.github.io/066097.jpg,T,R
