prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/DVSpvhzW4AUBTti.jpg,https://kristinagligoric.github.io/053765.jpg,https://kristinagligoric.github.io/AUBTti.jpg,https://kristinagligoric.github.io/053765.jpg,T,R
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/DId3H29UQAAvaB6.jpg,https://kristinagligoric.github.io/074326.jpg,https://kristinagligoric.github.io/AAvaB6.jpg,https://kristinagligoric.github.io/074326.jpg,T,R
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/070028.jpg,https://kristinagligoric.github.io/D3u6MP6WkAspS5S.jpg,https://kristinagligoric.github.io/070028.jpg,https://kristinagligoric.github.io/AspS5S.jpg,R,T
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/076905.jpg,https://kristinagligoric.github.io/EKztdhpWwAIKWuf.jpg,https://kristinagligoric.github.io/076905.jpg,https://kristinagligoric.github.io/AIKWuf.jpg,R,T
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/060787.jpg,https://kristinagligoric.github.io/C5XYQSQVYAEOyw5.jpg,https://kristinagligoric.github.io/060787.jpg,https://kristinagligoric.github.io/AEOyw5.jpg,R,T
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/103053.jpg,https://kristinagligoric.github.io/EqBWFN_XYAE3aR-.jpg,https://kristinagligoric.github.io/103053.jpg,https://kristinagligoric.github.io/AE3aR-.jpg,R,T
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/038348.jpg,https://kristinagligoric.github.io/DqI3ED1WsAE99tv.jpg,https://kristinagligoric.github.io/038348.jpg,https://kristinagligoric.github.io/AE99tv.jpg,R,T
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/039746.jpg,https://kristinagligoric.github.io/ERPmGp6WAAAEeIt.jpg,https://kristinagligoric.github.io/039746.jpg,https://kristinagligoric.github.io/AAEeIt.jpg,R,T
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/075991.jpg,https://kristinagligoric.github.io/DKWkr8OXoAAgyK1.jpg,https://kristinagligoric.github.io/075991.jpg,https://kristinagligoric.github.io/AAgyK1.jpg,R,T
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/D-ELb25X4AAp-6Q.jpg,https://kristinagligoric.github.io/063962.jpg,https://kristinagligoric.github.io/AAp-6Q.jpg,https://kristinagligoric.github.io/063962.jpg,T,R
contains cheese that appears,cheese,cheese,https://kristinagligoric.github.io/DaCeEWmX4AgbJ-H.jpg,https://kristinagligoric.github.io/026608.jpg,https://kristinagligoric.github.io/AgbJ-H.jpg,https://kristinagligoric.github.io/026608.jpg,T,R
