prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/100725.jpg,https://kristinagligoric.github.io/DwZMvVAW0AAbYvG.jpg,https://kristinagligoric.github.io/100725.jpg,https://kristinagligoric.github.io/AAbYvG.jpg,R,T
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/023569.jpg,https://kristinagligoric.github.io/DHNh-XbXYAEvQ0f.jpg,https://kristinagligoric.github.io/023569.jpg,https://kristinagligoric.github.io/AEvQ0f.jpg,R,T
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/016673.jpg,https://kristinagligoric.github.io/EGn-BXwWsAAijJD.jpg,https://kristinagligoric.github.io/016673.jpg,https://kristinagligoric.github.io/AAijJD.jpg,R,T
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/DTcixSgXkAM1HVH.jpg,https://kristinagligoric.github.io/076793.jpg,https://kristinagligoric.github.io/AM1HVH.jpg,https://kristinagligoric.github.io/076793.jpg,T,R
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/DON8LhFXcAUtRmU.jpg,https://kristinagligoric.github.io/036625.jpg,https://kristinagligoric.github.io/AUtRmU.jpg,https://kristinagligoric.github.io/036625.jpg,T,R
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/DZ99DY1WkAMxScq.jpg,https://kristinagligoric.github.io/072416.jpg,https://kristinagligoric.github.io/AMxScq.jpg,https://kristinagligoric.github.io/072416.jpg,T,R
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/008247.jpg,https://kristinagligoric.github.io/EpT1USfXEAQ1kJQ.jpg,https://kristinagligoric.github.io/008247.jpg,https://kristinagligoric.github.io/AQ1kJQ.jpg,R,T
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/011614.jpg,https://kristinagligoric.github.io/ENxkZEJWoAAeCVK.jpg,https://kristinagligoric.github.io/011614.jpg,https://kristinagligoric.github.io/AAeCVK.jpg,R,T
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/079687.jpg,https://kristinagligoric.github.io/C94VUhiXkAAqt3e.jpg,https://kristinagligoric.github.io/079687.jpg,https://kristinagligoric.github.io/AAqt3e.jpg,R,T
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/EiiKDxvXsAAUJoX.jpg,https://kristinagligoric.github.io/032793.jpg,https://kristinagligoric.github.io/AAUJoX.jpg,https://kristinagligoric.github.io/032793.jpg,T,R
contains burger(s) that appear,hamburger OR burger,burger,https://kristinagligoric.github.io/048022.jpg,https://kristinagligoric.github.io/EmuNWUPW4Acepbm.jpg,https://kristinagligoric.github.io/048022.jpg,https://kristinagligoric.github.io/Acepbm.jpg,R,T
