prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/073676.jpg,https://kristinagligoric.github.io/Ds3TJIwX4AIOyf8.jpg,https://kristinagligoric.github.io/073676.jpg,https://kristinagligoric.github.io/AIOyf8.jpg,R,T
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/Ds3TKUHXoAUmtnX.jpg,https://kristinagligoric.github.io/093504.jpg,https://kristinagligoric.github.io/AUmtnX.jpg,https://kristinagligoric.github.io/093504.jpg,T,R
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/020664.jpg,https://kristinagligoric.github.io/C1o_EABWgAIzpg9.jpg,https://kristinagligoric.github.io/020664.jpg,https://kristinagligoric.github.io/AIzpg9.jpg,R,T
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/074224.jpg,https://kristinagligoric.github.io/D1eV23GXgAAangQ.jpg,https://kristinagligoric.github.io/074224.jpg,https://kristinagligoric.github.io/AAangQ.jpg,R,T
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/084019.jpg,https://kristinagligoric.github.io/ESccMoeWkAEiuzX.jpg,https://kristinagligoric.github.io/084019.jpg,https://kristinagligoric.github.io/AEiuzX.jpg,R,T
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/ENvX_isXYAEAk3U.jpg,https://kristinagligoric.github.io/024872.jpg,https://kristinagligoric.github.io/AEAk3U.jpg,https://kristinagligoric.github.io/024872.jpg,T,R
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/084120.jpg,https://kristinagligoric.github.io/ETLwnD4WAAEwN2n.jpg,https://kristinagligoric.github.io/084120.jpg,https://kristinagligoric.github.io/AEwN2n.jpg,R,T
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/EQWTVtrWoAAwFtW.jpg,https://kristinagligoric.github.io/026597.jpg,https://kristinagligoric.github.io/AAwFtW.jpg,https://kristinagligoric.github.io/026597.jpg,T,R
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/031858.jpg,https://kristinagligoric.github.io/D1eV0_KWwAAeeo5.jpg,https://kristinagligoric.github.io/031858.jpg,https://kristinagligoric.github.io/AAeeo5.jpg,R,T
contains pasta or noodles that appear,pasta OR noodles,pasta or noodles,https://kristinagligoric.github.io/D0ftMaKWsAIxCho.jpg,https://kristinagligoric.github.io/059023.jpg,https://kristinagligoric.github.io/AIxCho.jpg,https://kristinagligoric.github.io/059023.jpg,T,R
