prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains rice that appears,rice,rice,https://kristinagligoric.github.io/008732.jpg,https://kristinagligoric.github.io/C-zCwcbXgAEG9sC.jpg,https://kristinagligoric.github.io/008732.jpg,https://kristinagligoric.github.io/AEG9sC.jpg,R,T
contains rice that appears,rice,rice,https://kristinagligoric.github.io/EPd_AL4WsAI2xJy.jpg,https://kristinagligoric.github.io/090576.jpg,https://kristinagligoric.github.io/AI2xJy.jpg,https://kristinagligoric.github.io/090576.jpg,T,R
contains rice that appears,rice,rice,https://kristinagligoric.github.io/040919.jpg,https://kristinagligoric.github.io/C3Kr2TZWcAAmPsC.jpg,https://kristinagligoric.github.io/040919.jpg,https://kristinagligoric.github.io/AAmPsC.jpg,R,T
contains rice that appears,rice,rice,https://kristinagligoric.github.io/DJqDKSLWAAU83ZC.jpg,https://kristinagligoric.github.io/050449.jpg,https://kristinagligoric.github.io/AU83ZC.jpg,https://kristinagligoric.github.io/050449.jpg,T,R
contains rice that appears,rice,rice,https://kristinagligoric.github.io/D1DkEUfXcAcWWVr.jpg,https://kristinagligoric.github.io/070387.jpg,https://kristinagligoric.github.io/AcWWVr.jpg,https://kristinagligoric.github.io/070387.jpg,T,R
contains rice that appears,rice,rice,https://kristinagligoric.github.io/085627.jpg,https://kristinagligoric.github.io/EU_1dtaXYAAD_s0.jpg,https://kristinagligoric.github.io/085627.jpg,https://kristinagligoric.github.io/AAD_s0.jpg,R,T
contains rice that appears,rice,rice,https://kristinagligoric.github.io/C9q805sXYAA8kRZ.jpg,https://kristinagligoric.github.io/028979.jpg,https://kristinagligoric.github.io/AA8kRZ.jpg,https://kristinagligoric.github.io/028979.jpg,T,R
contains rice that appears,rice,rice,https://kristinagligoric.github.io/089781.jpg,https://kristinagligoric.github.io/D1KHbfyWwAIrWls.jpg,https://kristinagligoric.github.io/089781.jpg,https://kristinagligoric.github.io/AIrWls.jpg,R,T
contains rice that appears,rice,rice,https://kristinagligoric.github.io/DU41ZQLW0AI_y8i.jpg,https://kristinagligoric.github.io/069060.jpg,https://kristinagligoric.github.io/AI_y8i.jpg,https://kristinagligoric.github.io/069060.jpg,T,R
contains rice that appears,rice,rice,https://kristinagligoric.github.io/085632.jpg,https://kristinagligoric.github.io/DXD-BQeXcAAFKjb.jpg,https://kristinagligoric.github.io/085632.jpg,https://kristinagligoric.github.io/AAFKjb.jpg,R,T
contains rice that appears,rice,rice,https://kristinagligoric.github.io/084580.jpg,https://kristinagligoric.github.io/C2yJwjVXgAQacSi.jpg,https://kristinagligoric.github.io/084580.jpg,https://kristinagligoric.github.io/AQacSi.jpg,R,T
