prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains salad that appears,salad,salad,https://kristinagligoric.github.io/010752.jpg,https://kristinagligoric.github.io/DyvTGIlW0AARGMJ.jpg,https://kristinagligoric.github.io/010752.jpg,https://kristinagligoric.github.io/AARGMJ.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/031201.jpg,https://kristinagligoric.github.io/EECoIAyXkAAwxHp.jpg,https://kristinagligoric.github.io/031201.jpg,https://kristinagligoric.github.io/AAwxHp.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/022338.jpg,https://kristinagligoric.github.io/D9lyPpFWwAE-cqw.jpg,https://kristinagligoric.github.io/022338.jpg,https://kristinagligoric.github.io/AE-cqw.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DX3sw1VX0AAA8gM.jpg,https://kristinagligoric.github.io/098788.jpg,https://kristinagligoric.github.io/AAA8gM.jpg,https://kristinagligoric.github.io/098788.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/EkDNz8ZWoAY_Tyo.jpg,https://kristinagligoric.github.io/075927.jpg,https://kristinagligoric.github.io/AY_Tyo.jpg,https://kristinagligoric.github.io/075927.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/044232.jpg,https://kristinagligoric.github.io/D0mGGGIX4Aspu_7.jpg,https://kristinagligoric.github.io/044232.jpg,https://kristinagligoric.github.io/Aspu_7.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/EeMjA3SXsAc--UI.jpg,https://kristinagligoric.github.io/058530.jpg,https://kristinagligoric.github.io/Ac--UI.jpg,https://kristinagligoric.github.io/058530.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/103738.jpg,https://kristinagligoric.github.io/EgCg7xZWoAAfLcK.jpg,https://kristinagligoric.github.io/103738.jpg,https://kristinagligoric.github.io/AAfLcK.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/D-e_3wzXUAAwHOz.jpg,https://kristinagligoric.github.io/056374.jpg,https://kristinagligoric.github.io/AAwHOz.jpg,https://kristinagligoric.github.io/056374.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/EmU2etQW8AIPvXr.jpg,https://kristinagligoric.github.io/013008.jpg,https://kristinagligoric.github.io/AIPvXr.jpg,https://kristinagligoric.github.io/013008.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/ERVADp8X0AEGFY6.jpg,https://kristinagligoric.github.io/094242.jpg,https://kristinagligoric.github.io/AEGFY6.jpg,https://kristinagligoric.github.io/094242.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DuZYOECW4AE3pIR.jpg,https://kristinagligoric.github.io/103511.jpg,https://kristinagligoric.github.io/AE3pIR.jpg,https://kristinagligoric.github.io/103511.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DB3rAN0VYAExqc0.jpg,https://kristinagligoric.github.io/030127.jpg,https://kristinagligoric.github.io/AExqc0.jpg,https://kristinagligoric.github.io/030127.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/C7_7kr8WkAEcOSw.jpg,https://kristinagligoric.github.io/009636.jpg,https://kristinagligoric.github.io/AEcOSw.jpg,https://kristinagligoric.github.io/009636.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DEhz6IzXcAAmDLB.jpg,https://kristinagligoric.github.io/019160.jpg,https://kristinagligoric.github.io/AAmDLB.jpg,https://kristinagligoric.github.io/019160.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DMBUrIpX0AAo4wE.jpg,https://kristinagligoric.github.io/075811.jpg,https://kristinagligoric.github.io/AAo4wE.jpg,https://kristinagligoric.github.io/075811.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/C8vRPJ5XcAAM6g-.jpg,https://kristinagligoric.github.io/102467.jpg,https://kristinagligoric.github.io/AAM6g-.jpg,https://kristinagligoric.github.io/102467.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/Dq3J_OJX4AEno6C.jpg,https://kristinagligoric.github.io/085169.jpg,https://kristinagligoric.github.io/AEno6C.jpg,https://kristinagligoric.github.io/085169.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/C48aWy5WQAAI2Ry.jpg,https://kristinagligoric.github.io/100298.jpg,https://kristinagligoric.github.io/AAI2Ry.jpg,https://kristinagligoric.github.io/100298.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/C6486CdWgAI_zKW.jpg,https://kristinagligoric.github.io/085193.jpg,https://kristinagligoric.github.io/AI_zKW.jpg,https://kristinagligoric.github.io/085193.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DJLSJ-VVoAASeqb.jpg,https://kristinagligoric.github.io/056916.jpg,https://kristinagligoric.github.io/AASeqb.jpg,https://kristinagligoric.github.io/056916.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DtGJGhhX4AA4x06.jpg,https://kristinagligoric.github.io/034622.jpg,https://kristinagligoric.github.io/AA4x06.jpg,https://kristinagligoric.github.io/034622.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/C_4BeUeWsAAXaiL.jpg,https://kristinagligoric.github.io/103650.jpg,https://kristinagligoric.github.io/AAXaiL.jpg,https://kristinagligoric.github.io/103650.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/098769.jpg,https://kristinagligoric.github.io/EKcyShlWsAcqzQy.jpg,https://kristinagligoric.github.io/098769.jpg,https://kristinagligoric.github.io/AcqzQy.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/103982.jpg,https://kristinagligoric.github.io/DHw9GDpWsAIgHyZ.jpg,https://kristinagligoric.github.io/103982.jpg,https://kristinagligoric.github.io/AIgHyZ.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/097773.jpg,https://kristinagligoric.github.io/DB9OOx8XoAEfmcJ.jpg,https://kristinagligoric.github.io/097773.jpg,https://kristinagligoric.github.io/AEfmcJ.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/033701.jpg,https://kristinagligoric.github.io/C99Wd_-XoAAczdl.jpg,https://kristinagligoric.github.io/033701.jpg,https://kristinagligoric.github.io/AAczdl.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/DxmwDlTVAAU4TML.jpg,https://kristinagligoric.github.io/015683.jpg,https://kristinagligoric.github.io/AU4TML.jpg,https://kristinagligoric.github.io/015683.jpg,T,R
contains salad that appears,salad,salad,https://kristinagligoric.github.io/034162.jpg,https://kristinagligoric.github.io/DxsWkUKXQAkmPhY.jpg,https://kristinagligoric.github.io/034162.jpg,https://kristinagligoric.github.io/AkmPhY.jpg,R,T
contains salad that appears,salad,salad,https://kristinagligoric.github.io/082922.jpg,https://kristinagligoric.github.io/DjQ-lXiXoAExATl.jpg,https://kristinagligoric.github.io/082922.jpg,https://kristinagligoric.github.io/AExATl.jpg,R,T
