prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/029482.jpg,https://kristinagligoric.github.io/DHmcWIuXgAAhn3Q.jpg,https://kristinagligoric.github.io/029482.jpg,https://kristinagligoric.github.io/AAhn3Q.jpg,R,T
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/Ds8fQ4uX4AALGyI.jpg,https://kristinagligoric.github.io/080934.jpg,https://kristinagligoric.github.io/AALGyI.jpg,https://kristinagligoric.github.io/080934.jpg,T,R
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/015971.jpg,https://kristinagligoric.github.io/C36XAkoXUAA8li_.jpg,https://kristinagligoric.github.io/015971.jpg,https://kristinagligoric.github.io/AA8li_.jpg,R,T
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/DdGCMtSXUAE3zSI.jpg,https://kristinagligoric.github.io/041875.jpg,https://kristinagligoric.github.io/AE3zSI.jpg,https://kristinagligoric.github.io/041875.jpg,T,R
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/DsOSl4UXgAAhATt.jpg,https://kristinagligoric.github.io/075607.jpg,https://kristinagligoric.github.io/AAhATt.jpg,https://kristinagligoric.github.io/075607.jpg,T,R
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/EpDek_vXUAMdWEI.jpg,https://kristinagligoric.github.io/012282.jpg,https://kristinagligoric.github.io/AMdWEI.jpg,https://kristinagligoric.github.io/012282.jpg,T,R
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/DmMMJFJXsAc79hT.jpg,https://kristinagligoric.github.io/076771.jpg,https://kristinagligoric.github.io/Ac79hT.jpg,https://kristinagligoric.github.io/076771.jpg,T,R
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/038361.jpg,https://kristinagligoric.github.io/D-Z1NBvXYAExPo8.jpg,https://kristinagligoric.github.io/038361.jpg,https://kristinagligoric.github.io/AExPo8.jpg,R,T
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/018827.jpg,https://kristinagligoric.github.io/EFDz3roWwAEitu0.jpg,https://kristinagligoric.github.io/018827.jpg,https://kristinagligoric.github.io/AEitu0.jpg,R,T
contains sauce that appears,sauce,sauce,https://kristinagligoric.github.io/081199.jpg,https://kristinagligoric.github.io/DJYtMPIXgAAjpLq.jpg,https://kristinagligoric.github.io/081199.jpg,https://kristinagligoric.github.io/AAjpLq.jpg,R,T
