prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/026675.jpg,https://kristinagligoric.github.io/EqZU96nXUAACpWd.jpg,https://kristinagligoric.github.io/026675.jpg,https://kristinagligoric.github.io/AACpWd.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/Eqemf9qXAAYGivM.jpg,https://kristinagligoric.github.io/061714.jpg,https://kristinagligoric.github.io/AYGivM.jpg,https://kristinagligoric.github.io/061714.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/031515.jpg,https://kristinagligoric.github.io/D54KJApWkAEZWJk.jpg,https://kristinagligoric.github.io/031515.jpg,https://kristinagligoric.github.io/AEZWJk.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/DenqgxyXkAAKRjL.jpg,https://kristinagligoric.github.io/052938.jpg,https://kristinagligoric.github.io/AAKRjL.jpg,https://kristinagligoric.github.io/052938.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/EqZU9tVW8AA-L1V.jpg,https://kristinagligoric.github.io/023296.jpg,https://kristinagligoric.github.io/AA-L1V.jpg,https://kristinagligoric.github.io/023296.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/098488.jpg,https://kristinagligoric.github.io/D42gP33W4AY3aYc.jpg,https://kristinagligoric.github.io/098488.jpg,https://kristinagligoric.github.io/AY3aYc.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/054130.jpg,https://kristinagligoric.github.io/Dkf9zR5XoAAev0A.jpg,https://kristinagligoric.github.io/054130.jpg,https://kristinagligoric.github.io/AAev0A.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/DmWBDYKX4AUB79x.jpg,https://kristinagligoric.github.io/010696.jpg,https://kristinagligoric.github.io/AUB79x.jpg,https://kristinagligoric.github.io/010696.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/024069.jpg,https://kristinagligoric.github.io/EHQUq26WsAAlDpN.jpg,https://kristinagligoric.github.io/024069.jpg,https://kristinagligoric.github.io/AAlDpN.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/072190.jpg,https://kristinagligoric.github.io/C_EwBj3XkAMqoxF.jpg,https://kristinagligoric.github.io/072190.jpg,https://kristinagligoric.github.io/AMqoxF.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/Ep6FyOgW4AASrZV.jpg,https://kristinagligoric.github.io/070595.jpg,https://kristinagligoric.github.io/AASrZV.jpg,https://kristinagligoric.github.io/070595.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/065814.jpg,https://kristinagligoric.github.io/D6mCuW3XsAAHTWO.jpg,https://kristinagligoric.github.io/065814.jpg,https://kristinagligoric.github.io/AAHTWO.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/089032.jpg,https://kristinagligoric.github.io/DQEArbdXcAAdZK2.jpg,https://kristinagligoric.github.io/089032.jpg,https://kristinagligoric.github.io/AAdZK2.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/076397.jpg,https://kristinagligoric.github.io/Ecbb868WsAAgYCY.jpg,https://kristinagligoric.github.io/076397.jpg,https://kristinagligoric.github.io/AAgYCY.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/EqemfVsXUAEazMW.jpg,https://kristinagligoric.github.io/041627.jpg,https://kristinagligoric.github.io/AEazMW.jpg,https://kristinagligoric.github.io/041627.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/EqemkSoXYAAzCuL.jpg,https://kristinagligoric.github.io/097127.jpg,https://kristinagligoric.github.io/AAzCuL.jpg,https://kristinagligoric.github.io/097127.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/083148.jpg,https://kristinagligoric.github.io/C3vlIS1XAAAw5S4.jpg,https://kristinagligoric.github.io/083148.jpg,https://kristinagligoric.github.io/AAw5S4.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/072335.jpg,https://kristinagligoric.github.io/ERAWn-XWAAABYu1.jpg,https://kristinagligoric.github.io/072335.jpg,https://kristinagligoric.github.io/AABYu1.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/Dl17ZgrXcAEFnxR.jpg,https://kristinagligoric.github.io/015072.jpg,https://kristinagligoric.github.io/AEFnxR.jpg,https://kristinagligoric.github.io/015072.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/032670.jpg,https://kristinagligoric.github.io/C30mREqWAAEgVyD.jpg,https://kristinagligoric.github.io/032670.jpg,https://kristinagligoric.github.io/AEgVyD.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/098675.jpg,https://kristinagligoric.github.io/EpvzTXVWMAArBnP.jpg,https://kristinagligoric.github.io/098675.jpg,https://kristinagligoric.github.io/AArBnP.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/C5Gix1-WcAABV0T.jpg,https://kristinagligoric.github.io/053556.jpg,https://kristinagligoric.github.io/AABV0T.jpg,https://kristinagligoric.github.io/053556.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/EdxcWnzXYAAQC5n.jpg,https://kristinagligoric.github.io/029826.jpg,https://kristinagligoric.github.io/AAQC5n.jpg,https://kristinagligoric.github.io/029826.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/D8-IUeNXkAsVGvV.jpg,https://kristinagligoric.github.io/074748.jpg,https://kristinagligoric.github.io/AsVGvV.jpg,https://kristinagligoric.github.io/074748.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/096458.jpg,https://kristinagligoric.github.io/EpZC_CrXcAMJOw4.jpg,https://kristinagligoric.github.io/096458.jpg,https://kristinagligoric.github.io/AMJOw4.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/Ep1IK3oXMAQaR9Y.jpg,https://kristinagligoric.github.io/026619.jpg,https://kristinagligoric.github.io/AQaR9Y.jpg,https://kristinagligoric.github.io/026619.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/026632.jpg,https://kristinagligoric.github.io/ESLVeFJXsAETe_p.jpg,https://kristinagligoric.github.io/026632.jpg,https://kristinagligoric.github.io/AETe_p.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/Dl17ZgrWwAA_ENK.jpg,https://kristinagligoric.github.io/059323.jpg,https://kristinagligoric.github.io/AA_ENK.jpg,https://kristinagligoric.github.io/059323.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/016821.jpg,https://kristinagligoric.github.io/D3LmMteWwAEB0_2.jpg,https://kristinagligoric.github.io/016821.jpg,https://kristinagligoric.github.io/AEB0_2.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/083146.jpg,https://kristinagligoric.github.io/DvsJa8XXcAA9sI9.jpg,https://kristinagligoric.github.io/083146.jpg,https://kristinagligoric.github.io/AA9sI9.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/085181.jpg,https://kristinagligoric.github.io/Dkf9zR5W4AA2pIh.jpg,https://kristinagligoric.github.io/085181.jpg,https://kristinagligoric.github.io/AA2pIh.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/059934.jpg,https://kristinagligoric.github.io/DldteG8WwAA9dWl.jpg,https://kristinagligoric.github.io/059934.jpg,https://kristinagligoric.github.io/AA9dWl.jpg,R,T
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/DnZYpuAXcAAQLlS.jpg,https://kristinagligoric.github.io/098676.jpg,https://kristinagligoric.github.io/AAQLlS.jpg,https://kristinagligoric.github.io/098676.jpg,T,R
contains sushi that appears,sushi,sushi,https://kristinagligoric.github.io/DFp9bbNXYAAf5CT.jpg,https://kristinagligoric.github.io/046999.jpg,https://kristinagligoric.github.io/AAf5CT.jpg,https://kristinagligoric.github.io/046999.jpg,T,R
