prompt_fill,category,foodtype,image_1_url_full,image_2_url_full,image_1_url,image_2_url,image_1,image_2
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/D3ur38oXsAIVq3u.jpg,https://kristinagligoric.github.io/059512.jpg,https://kristinagligoric.github.io/AIVq3u.jpg,https://kristinagligoric.github.io/059512.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/ElA42O_X0AM3FBP.jpg,https://kristinagligoric.github.io/092778.jpg,https://kristinagligoric.github.io/AM3FBP.jpg,https://kristinagligoric.github.io/092778.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/078293.jpg,https://kristinagligoric.github.io/C4lIvbEWEAAiNp-.jpg,https://kristinagligoric.github.io/078293.jpg,https://kristinagligoric.github.io/AAiNp-.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/En5vra1W4AAOMxr.jpg,https://kristinagligoric.github.io/036931.jpg,https://kristinagligoric.github.io/AAOMxr.jpg,https://kristinagligoric.github.io/036931.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/041271.jpg,https://kristinagligoric.github.io/DeHQxvHW4AELn_k.jpg,https://kristinagligoric.github.io/041271.jpg,https://kristinagligoric.github.io/AELn_k.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/059253.jpg,https://kristinagligoric.github.io/D1dDrcaWkAEacgZ.jpg,https://kristinagligoric.github.io/059253.jpg,https://kristinagligoric.github.io/AEacgZ.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/039319.jpg,https://kristinagligoric.github.io/D35BXLDWkAAjZI2.jpg,https://kristinagligoric.github.io/039319.jpg,https://kristinagligoric.github.io/AAjZI2.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/D_gCUPwWsAEnJAE.jpg,https://kristinagligoric.github.io/058072.jpg,https://kristinagligoric.github.io/AEnJAE.jpg,https://kristinagligoric.github.io/058072.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/Dh5BEJRXkAAyIWd.jpg,https://kristinagligoric.github.io/093367.jpg,https://kristinagligoric.github.io/AAyIWd.jpg,https://kristinagligoric.github.io/093367.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/072542.jpg,https://kristinagligoric.github.io/EVbClsLWAAAfVxO.jpg,https://kristinagligoric.github.io/072542.jpg,https://kristinagligoric.github.io/AAfVxO.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/056763.jpg,https://kristinagligoric.github.io/DiujOOIWkAEp6HF.jpg,https://kristinagligoric.github.io/056763.jpg,https://kristinagligoric.github.io/AEp6HF.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/038277.jpg,https://kristinagligoric.github.io/Ed76vlWXYAA5TNd.jpg,https://kristinagligoric.github.io/038277.jpg,https://kristinagligoric.github.io/AA5TNd.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/DdJ1aksX0AACG2-.jpg,https://kristinagligoric.github.io/100461.jpg,https://kristinagligoric.github.io/AACG2-.jpg,https://kristinagligoric.github.io/100461.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/DXsv2ySVQAAcqfx.jpg,https://kristinagligoric.github.io/051774.jpg,https://kristinagligoric.github.io/AAcqfx.jpg,https://kristinagligoric.github.io/051774.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/DkJmJJOU4AACAPH.jpg,https://kristinagligoric.github.io/096714.jpg,https://kristinagligoric.github.io/AACAPH.jpg,https://kristinagligoric.github.io/096714.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/008201.jpg,https://kristinagligoric.github.io/EBnWwSsWwAAjM4p.jpg,https://kristinagligoric.github.io/008201.jpg,https://kristinagligoric.github.io/AAjM4p.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/100719.jpg,https://kristinagligoric.github.io/DGjzfvfXgAE6No2.jpg,https://kristinagligoric.github.io/100719.jpg,https://kristinagligoric.github.io/AE6No2.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/C-KTJj0XoAA78ow.jpg,https://kristinagligoric.github.io/009289.jpg,https://kristinagligoric.github.io/AA78ow.jpg,https://kristinagligoric.github.io/009289.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/088844.jpg,https://kristinagligoric.github.io/DFCmwz3XcAEYGvc.jpg,https://kristinagligoric.github.io/088844.jpg,https://kristinagligoric.github.io/AEYGvc.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/018460.jpg,https://kristinagligoric.github.io/ECbmgY-WwAEjgma.jpg,https://kristinagligoric.github.io/018460.jpg,https://kristinagligoric.github.io/AEjgma.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/DJYlON_W4AA6NHB.jpg,https://kristinagligoric.github.io/051298.jpg,https://kristinagligoric.github.io/AA6NHB.jpg,https://kristinagligoric.github.io/051298.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/EA3zt_QWsAEjNxO.jpg,https://kristinagligoric.github.io/039461.jpg,https://kristinagligoric.github.io/AEjNxO.jpg,https://kristinagligoric.github.io/039461.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/102818.jpg,https://kristinagligoric.github.io/ECbmjRoXsAEV3Qw.jpg,https://kristinagligoric.github.io/102818.jpg,https://kristinagligoric.github.io/AEV3Qw.jpg,R,T
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/DNeCJ6nX0AArP4V.jpg,https://kristinagligoric.github.io/097661.jpg,https://kristinagligoric.github.io/AArP4V.jpg,https://kristinagligoric.github.io/097661.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/DFXwtcjXkAEsv_Q.jpg,https://kristinagligoric.github.io/052502.jpg,https://kristinagligoric.github.io/AEsv_Q.jpg,https://kristinagligoric.github.io/052502.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/DEhs3GWXkAA9lrx.jpg,https://kristinagligoric.github.io/069358.jpg,https://kristinagligoric.github.io/AA9lrx.jpg,https://kristinagligoric.github.io/069358.jpg,T,R
contains tomato(es) that appear,tomato,tomato,https://kristinagligoric.github.io/EgsBt9gXgAAoNlj.jpg,https://kristinagligoric.github.io/071097.jpg,https://kristinagligoric.github.io/AAoNlj.jpg,https://kristinagligoric.github.io/071097.jpg,T,R
