category,images,contains
salad,C_2B1WmXUAArQSi.jpg,0
spinach,C_2B1WmXUAArQSi.jpg,1
pasta OR noodles,C_2OXh0XoAE4onq.jpg,1
sauce,C_43UkFXoAATq0Z.jpg,1
spaghetti,C_43UkFXoAATq0Z.jpg,1
salad,C_4BeUeWsAAXaiL.jpg,1
cheese,C_73tVUVYAA3lOj.jpg,0
salad,C_7MKnAVoAA5BDo.jpg,0
risotto,C_aJcRyW0AErvFq.jpg,1
asparagus,C_aTuXDXgAUb7u4.jpg,0
egg,C_aTuXDXgAUb7u4.jpg,1
potato,C_aTuXDXgAUb7u4.jpg,0
salad,C_CguQdW0AAbedO.jpg,0
cake,C_cnpjuXUAAjcfF.jpg,1
salad,C_cSbCDXkAIcO3h.jpg,0
(hazelnut OR chocolate) spread OR nutella OR ovomaltine OR caotina,C_DKs8nXgAAtMIj.jpg,1
cream,C_e_Y1PXgAcV0qs.jpg,1
pear,C_e_Y1PXgAcV0qs.jpg,1
cake,C_ecpZ8WAAAUdB2.jpg,1
lemon,C_ecpZ8WAAAUdB2.jpg,0
tart,C_ecpZ8WAAAUdB2.jpg,0
cake,C_ecpZ8XkAAooR7.jpg,1
lemon,C_ecpZ8XkAAooR7.jpg,0
tart,C_ecpZ8XkAAooR7.jpg,0
cake,C_ecpZsXYAQHYbm.jpg,1
lemon,C_ecpZsXYAQHYbm.jpg,0
tart,C_ecpZsXYAQHYbm.jpg,0
blueberry,C_EUPAqXkAUBdLK.jpg,1
pancake,C_EUPAqXkAUBdLK.jpg,1
sushi,C_EwBj3XkAMqoxF.jpg,1
bread,C_Fuhg1UwAAye-E.jpg,1
cheese,C_Fuhg1UwAAye-E.jpg,1
egg,C_haXnhWAAEGE9V.jpg,1
rice,C_haXnhWAAEGE9V.jpg,0
salad,C_haXnhWAAEGE9V.jpg,0
grits OR polenta OR (maize flour),C_ILAMmXgAEfHel.jpg,1
lemon,C_ILAMmXgAEfHel.jpg,0
chocolate,C_KKoQ1XsAAxnXI.jpg,0
cake,C_Kn3pIXsAADfPi.jpg,1
asparagus,C_mY_S3WsAAdJzw.jpg,1
egg,C_mY_S3WsAAdJzw.jpg,0
cake,C_MyxeHW0AAkrpT.jpg,1
cake,C_Myy8GXgAAX4QS.jpg,1
omelette,C_oaaz0XoAA9aXB.jpg,1
vegetable,C_oaaz0XoAA9aXB.jpg,1
asparagus,C_oas0fXYAAV4sv.jpg,1
