english,french,italian,german,english plural,french plural,italian plural,german plural
bread,pain,pane,brot,breads,pains,pane,Brote
salad,salade,insalata,salat,salads,salades,insalate,Salate
tomato,tomate,pomodoro,tomate,tomatoes,tomates,pomodori,Tomaten
butter,beurre,burro,butter,butters,beurres,burri,Butter
carrot,carotte,carotta,karotte OR mohre,carrots,carottes,carote,karroten or mohren
rice,riz,riso,reis,,,,
egg,oeuf,uovo,ei,eggs,oeufs,uova,Eier
vegetable,legume,verdura,gemuse,vegetables,legumes,verdura,gemuse
jam,confiture,marmelata,marmelade,jams,confitures,marmellate,Marmeladen
apple,pomme,mela,apfel,apples,pommes,mele,apfel
potato,patate,patata,kartoffeln,potatoes,pommes de terre,patate,Kartoffeln
banana,banane,banana,banane,bananas,bananes,banane,Bananen
cheese,fromage,formaggio OR cacio,kase,cheeses,fromages,formaggi,Käse
cucumber,concombre,cetriolo,gurke,cucumbers,concombres,cetrioli,Gurken
avocado,avocat,avocado,avocado,avocados,avocats,avocado,Avocados
tomato sauce,sauce tomate,salsa al pomodoro,tomatensauce,,,,
chicken,poulet,pollo,hahnchen,,,,
pepper,poivre,peperone,pfeffer,peppers,poivrons,peperoni,Pfeffer
broccoli,brocoli,broccoli,brokkoli,broccolis,brocolis,broccoli,Brokkoli
spaghetti,spaghetti,spaghetti,spaghetti,,,,
strawberry,fraise,fragola,Erdbeere,strawberries,fraises,fragole,Erdbeeren
chips OR french fries OR crisps OR country fries,chips OR frites,patate fritte,pommes frittes,,,,
zucchini,courgette,zucchine,zucchini,zucchinis,courgettes,zucchine,Zucchini
honey,miel,miele,honig,,,,
chocolate,chocolat,cioccolato,schokolade,chocolates,chocolats,cioccolatini,Pralinen
pizza,pizza,pizza,pizza,pizzas,pizzas,pizze,Pizzen
parmesan,parmesan,parmigian,parmesan,,,,
mayonnaise,mayonnaise,maionese,mayonnaise,,,,
spinach,epinard,spinaci,spinat,,,,
gruyere,gruyere,groviera,gruyere,,,,
salmon,saumon,salmone,lachs,,,,
salami,salami,salame,salami,,,,
nut,noix,noce,nuss,nuts,noissettes,noccioline,nusse
ham,jambon,prosciutto,schinken,hams,jambons,prosciutti,Schinken
bean,haricot OR grain,fagiolo,bohne,beans,haricots,fagioli,bohnen
almond,amande,mandorla,mandel,almonds,amandes,mandorle,mandeln
blueberry,myrtille,mirtillo,blaubeere,blueberries,myrtilles,mirtilli,blaubeeren
ice cream,creme glacee,gelato,Eiscreme,ice creams,glaces,gelato,Eis
pear,poire,Pera,Birne,pears,poires,pere,Birnen
